Pos,2019,2018,Title,Director,Year,Country,Mins,Col,Genre,Seen
59,73,74,Once Upon a Time in Anatolia,"Ceylan, Nuri Bilge",2011,Turkey-Bosnia and Herzergovina,150,Col,Crime-Drama,
60,48,51,Oldboy,Park Chan-wook,2003,South Korea,120,Col,Action-Mystery-Thriller,X
61,239,563,Zama,"Martel, Lucrecia",2017,Argentina-Brazil-Spain-Dominican Republic-France-Netherlands-Mexico-Switzerland-USA-Portugal-Lebanon,115,Col,Drama,
62,53,57,Syndromes and a Century,"Weerasethakul, Apichatpong",2006,Thailand-France-Austria-Netherlands,105,Col,Drama,
63,46,44,Memento,"Nolan, Christopher",2000,USA,113,Col,Thriller-Mystery-Drama,X
64,58,55,Amélie,"Jeunet, Jean-Pierre",2001,France-Germany,122,Col,Romance-Comedy,X
65,92,92,Tabu [2012],"Gomes, Miguel",2012,Portugal-Germany-Brazil-France,118,BW,Drama-Romance,
66,84,85,Carol,"Haynes, Todd",2015,UK-USA,118,Col,Drama-Romance,X
67,57,63,Songs from the Second Floor,"Andersson, Roy",2000,Sweden-France-Denmark-Norway-Germany,98,Col,Drama,
68,71,67,"Headless Woman, The","Martel, Lucrecia",2008,Argentina-Spain-France-Italy,87,Col,Drama-Mystery-Thriller,
69,---,---,Parasite,Bong Joon-ho,2019,South Korea,132,Col,Comedy-Drama-Thriller,X
70,64,72,Let the Right One In,"Alfredson, Tomas",2008,Sweden-Norway,114,Col,Drama-Horror-Romance,
71,81,71,Nostalgia for the Light,"Guzmán, Patricio",2010,France-Germany-Chile-Spain-USA,90,Col,Documentary-Drama,
72,62,54,Million Dollar Baby,"Eastwood, Clint",2004,USA,137,Col,Drama,X
73,63,59,"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Taiwan,82,Col,Drama-Comedy,
74,76,68,"Son, The","Dardenne, Jean-Pierre & Luc Dardenne",2002,Belgium-France,103,Col,Drama,
75,61,56,Far from Heaven,"Haynes, Todd",2002,USA-France,107,Col,Romance-Drama,
76,55,50,Dancer in the Dark,"von Trier, Lars",2000,Denmark-France-Sweden-Italy-Germany-Norway-Netherlands-Iceland-Finland-UK-USA,140,Col,Musical-Drama,X
77,65,69,"Dark Knight, The","Nolan, Christopher",2008,USA-UK,152,Col,Action-Crime-Thriller,X
78,126,117,Get Out,"Peele, Jordan",2017,USA,104,Col,Horror-Mystery,X
79,67,58,"Synecdoche, New York","Kaufman, Charlie",2008,USA,124,Col,Drama,
80,147,144,Goodbye to Language,"Godard, Jean-Luc",2014,Switzerland-France,70,Col,Drama,
81,72,84,"Prophet, A","Audiard, Jacques",2009,France-Italy,155,Col,Drama-Crime,
82,120,123,Certified Copy,"Kiarostami, Abbas",2010,France-Italy-Belgium-Iran,106,Col,Drama,
83,104,105,Leviathan [2012],"Castaing-Taylor, Lucien & Verena Paravel",2012,France-UK-USA,87,Col,Documentary,
84,129,---,Roma,"Cuarón, Alfonso",2018,Mexico-USA,135,BW,Drama,X
85,107,118,"Ciénaga, La","Martel, Lucrecia",2001,Argentina-France-Spain,103,Col,Drama-Comedy,
86,229,417,Phantom Thread,"Anderson, Paul Thomas",2017,USA,130,Col,Drama-Romance,X
87,82,83,Distant,"Ceylan, Nuri Bilge",2002,Turkey-Netherlands,110,Col,Drama,
88,68,65,In Vanda's Room,"Costa, Pedro",2000,Portugal-Germany-Switzerland-Italy,170,Col,Drama,
89,79,76,Hunger [2008],"McQueen, Steve",2008,UK-Ireland,96,Col,Drama-History,
90,97,101,"Grand Budapest Hotel, The","Anderson, Wes",2014,USA-Germany,100,Col-BW,Comedy,X
91,83,80,Inglourious Basterds,"Tarantino, Quentin",2009,USA-Germany,153,Col,Action-Drama-War,X
92,74,73,Blissfully Yours,"Weerasethakul, Apichatpong",2002,Thailand-France,125,Col,Romance-Drama,
93,80,79,"Piano Teacher, The","Haneke, Michael",2001,Austria-France-Germany,130,Col,Drama,
94,66,61,"Lord of the Rings: The Fellowship of the Ring, The","Jackson, Peter",2001,New Zealand-USA,178,Col,Fantasy-Adventure,X
95,86,95,Toy Story 3,"Unkrich, Lee",2010,USA,103,Col,Animated-Adventure-Comedy,X
96,70,66,Moulin Rouge!,"Luhrmann, Baz",2001,Australia-USA,126,Col,Drama-Musical-Romance,X
97,69,60,Requiem for a Dream,"Aronofsky, Darren",2000,USA,100,Col,Drama,X
98,78,77,2046,Wong Kar-wai,2004,Hong Kong-China-France-Italy-Germany,129,Col-BW,Science Fiction-Drama-Romance,
99,171,184,Margaret,"Lonergan, Kenneth",2011,USA,150,Col,Drama,
100,94,90,"New World, The","Malick, Terrence",2005,USA,135,Col,Drama-History-Romance,
101,89,98,"Host, The",Bong Joon-ho,2006,South Korea-Japan,119,Col,Action-Comedy-Horror,X
102,77,70,"Lord of the Rings: The Return of the King, The","Jackson, Peter",2003,New Zealand-USA,201,Col,Fantasy-Adventure-Action,X
103,210,200,"Assassin, The",Hou Hsiao-hsien,2015,Taiwan-China-Hong Kong-France,105,Col-BW,Action-Drama,
104,158,162,Mysteries of Lisbon,"Ruiz, Raúl",2010,Portugal-France,272,Col,Drama-Mystery,
105,106,110,Irréversible,"Noé, Gaspar",2002,France,97,Col,Crime-Drama-Horror,
106,91,87,Up,"Docter, Pete",2009,USA,96,Col,Animated-Adventure-Comedy,X
107,100,100,"World, The",Jia Zhangke,2004,China-Japan-France,140,Col,Drama,
108,114,130,Her,"Jonze, Spike",2013,USA,126,Col,Comedy-Drama-Romance,X
109,95,91,Amores perros,"González Iñárritu, Alejandro",2000,Mexico,153,Col,Drama,
110,90,81,Mystic River,"Eastwood, Clint",2003,USA-Australia,137,Col,Mystery-Drama-Crime,
111,93,88,"Incredibles, The","Bird, Brad",2004,USA,121,Col-BW,Family-Animated-Adventure,X
112,122,119,12 Years a Slave,"McQueen, Steve",2013,USA-UK,134,Col,Biography-Drama-History,X
113,199,202,Stories We Tell,"Polley, Sarah",2012,Canada,108,Col,Documentary,X
114,99,106,Avatar,"Cameron, James",2009,USA-UK,161,Col,Action-Science Fiction-Adventure,X
115,193,226,"Wolf of Wall Street, The","Scorsese, Martin",2013,USA,180,Col,Biography-Comedy-Crime,X
116,237,---,Burning,Lee Chang-dong,2018,South Korea,148,Col,Drama-Mystery,
117,101,99,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"Charles, Larry",2006,USA-UK,84,Col,Comedy,X
118,162,151,Ida,"Pawlikowski, Pawel",2013,Poland-Denmark,80,Col,Drama,X
119,85,82,Finding Nemo,"Stanton, Andrew & Lee Unkrich",2003,USA,100,Col,Family-Animated-Adventure,X
120,133,136,Zero Dark Thirty,"Bigelow, Kathryn",2012,USA,157,Col,Thriller-Drama-History,X
121,123,127,Winter's Bone,"Granik, Debra",2010,USA,100,Col,Drama-Mystery-Thriller,
122,110,126,Shaun of the Dead,"Wright, Edgar",2004,UK-USA-France,99,Col,Action-Comedy-Horror,X
123,98,102,Waltz with Bashir,"Folman, Ari",2008,Israel-France-Germany-USA-Japan-Finland-Switzerland-Belgium-Australia,90,Col,Animated-Biography-Documentary,X
124,87,86,Donnie Darko,"Kelly, Richard",2001,USA,112,Col,Fantasy-Drama,X
125,---,---,"Irishman, The","Scorsese, Martin",2019,USA,209,Col,Biography-Crime-Drama,X
126,202,253,Stranger by the Lake,"Guiraudie, Alain",2013,France,100,Col,Drama-Thriller,
127,112,112,Atanarjuat: The Fast Runner,"Kunuk, Zacharias",2001,Canada,172,Col,Drama,
128,113,113,35 Shots of Rum,"Denis, Claire",2008,France-Germany,101,Col,Drama,
129,149,173,Inception,"Nolan, Christopher",2010,USA-UK,148,Col,Action-Mystery-Science Fiction,X
