Pos,2024,Title,Director,Year,Country,Mins,Seen
200,207,Raiders of the Lost Ark,"Spielberg, Steven",1981,USA,115,X
240,239,"Autumn Afternoon, An","Ozu, Yasujiro",1962,Japan,115,X
366,361,Muriel,"Resnais, Alain",1963,France,115,
370,379,"Affair to Remember, An","McCarey, Leo",1957,USA,115,X
432,423,Holy Motors,"Carax, Leos",2012,France,115,
459,466,"Act of Killing, The","Oppenheimer, Joshua",2012,Denmark,115,X
493,485,Zama,"Martel, Lucrecia",2017,Argentina,115,
523,513,Dead Ringers,"Cronenberg, David",1988,Canada,115,X
525,534,East of Eden,"Kazan, Elia",1955,USA,115,X
592,598,"Servant, The","Losey, Joseph",1963,UK,115,
792,794,Miller's Crossing,"Coen, Joel & Ethan Coen",1990,USA,115,X
872,858,Breakfast at Tiffany's,"Edwards, Blake",1961,USA,115,X
892,893,Stroszek,"Herzog, Werner",1977,West Germany,115,
910,904,"River, The",Tsai Ming-liang,1997,Taiwan,115,
920,916,"American in Paris, An","Minnelli, Vincente",1951,USA,115,X
267,263,Uncle Boonmee Who Can Recall His Past Lives,"Weerasethakul, Apichatpong",2010,Thailand,114,
297,294,"Big Sleep, The","Hawks, Howard",1946,USA,114,X
397,392,Limite,"Peixoto, Mario",1931,Brazil,114,
715,698,"Holy Mountain, The","Jodorowsky, Alejandro",1973,Mexico,114,
798,785,"Diaboliques, Les","Clouzot, Henri-Georges",1955,France,114,X
833,913,Let the Right One In,"Alfredson, Tomas",2008,Sweden,114,X
847,841,White Heat,"Walsh, Raoul",1949,USA,114,X
925,945,"Fountainhead, The","Vidor, King",1949,USA,114,
5,5,"Rules of the Game, The","Renoir, Jean",1939,France,113,X
15,14,Taxi Driver,"Scorsese, Martin",1976,USA,113,X
150,150,"Conversation, The","Coppola, Francis Ford",1974,USA,113,X
222,218,Kes,"Loach, Ken",1969,UK,113,
250,253,"Big Lebowski, The","Coen, Joel & Ethan Coen",1998,USA,113,X
253,249,Meet Me in St. Louis,"Minnelli, Vincente",1944,USA,113,X
342,343,Midnight Cowboy,"Schlesinger, John",1969,USA,113,X
423,424,Europa '51,"Rossellini, Roberto",1952,Italy,113,
571,565,"Wedding March, The","von Stroheim, Erich",1928,USA,113,
708,710,"4 Months, 3 Weeks and 2 Days","Mungiu, Cristian",2007,Romania,113,
763,797,Memento,"Nolan, Christopher",2000,USA,113,X
819,811,Still Life,Jia Zhangke,2006,China,113,
954,942,"Ice Storm, The","Lee, Ang",1997,USA,113,
40,39,Rear Window,"Hitchcock, Alfred",1954,USA,112,X
46,44,Pather Panchali,"Ray, Satyajit",1955,India,112,X
249,245,"Band Wagon, The","Minnelli, Vincente",1953,USA,112,X
258,254,Daughters of the Dust,"Dash, Julie",1991,USA,112,
325,329,"Philadelphia Story, The","Cukor, George",1940,USA,112,X
428,439,"Long Goodbye, The","Altman, Robert",1973,USA,112,X
472,471,Talk to Her,"Almodóvar, Pedro",2002,Spain,112,X
625,633,"Asphalt Jungle, The","Huston, John",1950,USA,112,X
652,645,Bring Me the Head of Alfredo Garcia,"Peckinpah, Sam",1974,USA,112,X
677,718,Ace in the Hole,"Wilder, Billy",1951,USA,112,X
900,902,Zabriskie Point,"Antonioni, Michelangelo",1970,USA,112,
122,124,Blow-Up,"Antonioni, Michelangelo",1966,Italy,111,
216,216,Moonlight,"Jenkins, Barry",2016,USA,111,X
290,285,"Ascent, The","Shepitko, Larisa",1977,USSR,111,
333,335,Bonnie and Clyde,"Penn, Arthur",1967,USA,111,X
426,442,If….,"Anderson, Lindsay",1968,UK,111,X
695,684,Local Hero,"Forsyth, Bill",1983,UK,111,X
705,689,Cure,"Kurosawa, Kiyoshi",1997,Japan,111,
740,725,"Grido, Il","Antonioni, Michelangelo",1957,Italy,111,
776,791,Rebel Without a Cause,"Ray, Nicholas",1955,USA,111,X
8,8,Sunrise: A Song of Two Humans,"Murnau, F.W.",1927,USA,110,X
19,18,"Passion of Joan of Arc, The","Dreyer, Carl Theodor",1928,France,110,X
43,46,Sunset Blvd.,"Wilder, Billy",1950,USA,110,X
68,67,Pierrot le fou,"Godard, Jean-Luc",1965,France,110,X
119,121,Don't Look Now,"Roeg, Nicolas",1973,UK,110,X
183,185,Johnny Guitar,"Ray, Nicholas",1954,USA,110,X
191,200,Nights of Cabiria,"Fellini, Federico",1957,Italy,110,
231,230,"Black God, White Devil","Rocha, Glauber",1964,Brazil,110,
286,286,Throne of Blood,"Kurosawa, Akira",1957,Japan,110,X
287,282,Day of Wrath,"Dreyer, Carl Theodor",1943,Denmark,110,
303,298,Mean Streets,"Scorsese, Martin",1973,USA,110,X
371,371,Yojimbo,"Kurosawa, Akira",1961,Japan,110,X
440,432,"Scarlet Empress, The","von Sternberg, Josef",1934,USA,110,X
524,514,"Enigma of Kaspar Hauser, The","Herzog, Werner",1974,West Germany,110,
530,519,Alice in the Cities,"Wenders, Wim",1974,West Germany,110,
541,567,Ninotchka,"Lubitsch, Ernst",1939,USA,110,X
552,546,Picnic at Hanging Rock,"Weir, Peter",1975,Australia,110,X
560,571,Butch Cassidy and the Sundance Kid,"Hill, George Roy",1969,USA,110,X
610,605,West Indies,"Hondo, Med",1979,France,110,
620,604,Providence,"Resnais, Alain",1977,France,110,
691,677,Hyènes,"Diop Mambéty, Djibril",1992,Senegal,110,
693,749,Distant,"Ceylan, Nuri Bilge",2002,Turkey,110,
753,740,Triumph of the Will,"Riefenstahl, Leni",1935,Germany,110,X
780,787,Mamma Roma,"Pasolini, Pier Paolo",1962,Italy,110,
875,924,Cría cuervos,"Saura, Carlos",1976,Spain,110,
929,927,"Killer, The","Woo, John",1989,Hong Kong,110,
942,957,American Graffiti,"Lucas, George",1973,USA,110,X
953,965,"Return, The","Zvyagintsev, Andrey",2003,Russia,110,
994,976,Gilda,"Vidor, Charles",1946,USA,110,
26,28,Psycho,"Hitchcock, Alfred",1960,USA,109,X
321,330,In the Realm of the Senses,"Oshima, Nagisa",1976,Japan,109,
340,338,"King of Comedy, The","Scorsese, Martin",1982,USA,109,X
387,380,"Killing of a Chinese Bookie, The","Cassavetes, John",1976,USA,109,X
547,569,Children of Men,"Cuarón, Alfonso",2006,USA,109,X
615,620,Deliverance,"Boorman, John",1972,USA,109,X
617,611,"Devils, The","Russell, Ken",1971,UK,109,X
641,656,"Royal Tenenbaums, The","Anderson, Wes",2001,USA,109,X
697,700,Wake in Fright,"Kotcheff, Ted",1971,Australia,109,
947,,Dust in the Wind,Hou Hsiao-hsien,1986,Taiwan,109,
41,45,Touch of Evil,"Welles, Orson",1958,USA,108,X
42,40,Playtime,"Tati, Jacques",1967,France,108,X
56,53,Late Spring,"Ozu, Yasujiro",1949,Japan,108,X
203,203,On the Waterfront,"Kazan, Elia",1954,USA,108,X
211,211,"Thing, The","Carpenter, John",1982,USA,108,X
254,252,Eternal Sunshine of the Spotless Mind,"Gondry, Michel",2004,USA,108,X
390,414,Under the Skin,"Glazer, Jonathan",2013,UK,108,
519,517,And Life Goes On...,"Kiarostami, Abbas",1992,Iran,108,
534,531,Aparajito,"Ray, Satyajit",1956,India,108,
583,573,Shadow of a Doubt,"Hitchcock, Alfred",1943,USA,108,X
772,789,Two English Girls,"Truffaut, François",1971,France,108,X
806,806,Funny Games,"Haneke, Michael",1997,Austria,108,
823,831,Smiles of a Summer Night,"Bergman, Ingmar",1955,Sweden,108,X
23,23,Mirror,"Tarkovsky, Andrei",1975,USSR,107,X
87,83,"Conformist, The","Bertolucci, Bernardo",1970,Italy,107,
380,385,Stromboli,"Rossellini, Roberto",1950,Italy,107,X
490,489,Withnail & I,"Robinson, Bruce",1987,UK,107,
501,492,Blow Out,"De Palma, Brian",1981,USA,107,X
536,535,Alexander Nevsky,"Eisenstein, Sergei",1938,USSR,107,X
544,547,"Terminator, The","Cameron, James",1984,USA,107,X
588,596,D'Est,"Akerman, Chantal",1993,Belgium,107,
616,653,Down by Law,"Jarmusch, Jim",1986,USA,107,X
908,900,"Phantom Carriage, The","Sjöström, Victor",1921,Sweden,107,X
973,,Ghostbusters,"Reitman, Ivan",1984,USA,107,X
160,163,Cries and Whispers,"Bergman, Ingmar",1972,Sweden,106,X
163,170,Double Indemnity,"Wilder, Billy",1944,USA,106,X
275,267,Kind Hearts and Coronets,"Hamer, Robert",1949,UK,106,
305,304,Terra em Transe,"Rocha, Glauber",1967,Brazil,106,
346,342,Kiss Me Deadly,"Aldrich, Robert",1955,USA,106,
549,543,Hannah and Her Sisters,"Allen, Woody",1986,USA,106,X
822,827,"Thief of Bagdad, The","Powell, Michael/Ludwig Berger/Tim Whelan",1940,UK,106,X
858,873,Mikey and Nicky,"May, Elaine",1976,USA,106,X
880,912,Atlantics,"Diop, Mati",2019,France,106,
894,890,"Woman Next Door, The","Truffaut, François",1981,France,106,X
104,103,Madame de...,"Ophüls, Max",1953,France,105,
142,154,"Rome, Open City","Rossellini, Roberto",1945,Italy,105,X
151,151,Wanda,"Loden, Barbara",1970,USA,105,X
207,198,Vagabond,"Varda, Agnès",1985,France,105,
244,241,Performance,"Roeg, Nicolas & Donald Cammell",1970,UK,105,
260,260,"Graduate, The","Nichols, Mike",1967,USA,105,X
277,280,My Night at Maud's,"Rohmer, Eric",1969,France,105,X
341,341,"Wages of Fear, The","Clouzot, Henri-Georges",1953,France,105,
345,344,Weekend,"Godard, Jean-Luc",1967,France,105,X
361,367,It Happened One Night,"Capra, Frank",1934,USA,105,X
456,446,Festen,"Vinterberg, Thomas",1998,Denmark,105,
474,470,Syndromes and a Century,"Weerasethakul, Apichatpong",2006,Thailand,105,
537,526,Yeelen,"Cissé, Souleymane",1987,Mali,105,
598,599,Repulsion,"Polanski, Roman",1965,UK,105,X
632,626,Portrait of Jason,"Clarke, Shirley",1967,USA,105,
666,672,Arrebato,"Zulueta, Iván",1979,Spain,105,
673,695,Young Frankenstein,"Brooks, Mel",1974,USA,105,X
743,747,Y tu mamá también,"Cuarón, Alfonso",2001,Mexico,105,
771,758,Veronika Voss,"Fassbinder, Rainer Werner",1982,West Germany,105,
831,826,Edward Scissorhands,"Burton, Tim",1990,USA,105,X
839,833,Funeral Parade of Roses,"Matsumoto, Toshio",1969,Japan,105,
863,887,Claire's Knee,"Rohmer, Eric",1970,France,105,
887,884,"African Queen, The","Huston, John",1951,UK,105,X
941,990,"Sorpasso, Il","Risi, Dino",1962,Italy,105,
983,999,"Last Detail, The","Ashby, Hal",1973,USA,105,
54,55,"Third Man, The","Reed, Carol",1949,UK,104,X
99,98,Jules et Jim,"Truffaut, François",1962,France,104,X
131,128,"Matter of Life and Death, A","Powell, Michael & Emeric Pressburger",1946,UK,104,X
159,157,Chungking Express,Wong Kar-wai,1994,Hong Kong,104,
241,236,"Crowd, The","Vidor, King",1928,USA,104,X
352,354,Get Out,"Peele, Jordan",2017,USA,104,X
407,398,Crimes and Misdemeanors,"Allen, Woody",1989,USA,104,X
526,568,"French Connection, The","Friedkin, William",1971,USA,104,X
659,651,"Vitelloni, I","Fellini, Federico",1953,Italy,104,
681,667,"Ghost and Mrs. Muir, The","Mankiewicz, Joseph L.",1947,USA,104,X
701,705,"Phantom of Liberty, The","Buñuel, Luis",1974,France,104,
902,896,Exotica,"Egoyan, Atom",1994,Canada,104,
914,928,Meek's Cutoff,"Reichardt, Kelly",2010,USA,104,
945,930,From the Clouds to the Resistance,"Straub, Jean-Marie & Danièle Huillet",1979,Italy,104,
45,42,Contempt,"Godard, Jean-Luc",1963,France,103,X
205,202,King Kong,"Cooper, Merian C. & Ernest B. Schoedsack",1933,USA,103,X
282,275,"Ciénaga, La","Martel, Lucrecia",2001,Argentina,103,
285,281,Groundhog Day,"Ramis, Harold",1993,USA,103,X
310,320,"World of Apu, The","Ray, Satyajit",1959,India,103,
368,373,Through the Olive Trees,"Kiarostami, Abbas",1994,Iran,103,
463,452,October,"Eisenstein, Sergei & Grigori Aleksandrov",1928,USSR,103,X
468,468,"Harlan County, U.S.A.","Kopple, Barbara",1976,USA,103,
488,473,Barren Lives,"Pereira dos Santos, Nelson",1963,Brazil,103,
506,493,Masculin féminin,"Godard, Jean-Luc",1966,France,103,X
576,562,"Blue Angel, The","von Sternberg, Josef",1930,Germany,103,
585,576,That Obscure Object of Desire,"Buñuel, Luis",1977,France,103,
623,628,"Wicker Man, The","Hardy, Robin",1973,UK,103,X
645,637,Hana-bi,"Kitano, Takeshi",1997,Japan,103,
734,754,Dazed and Confused,"Linklater, Richard",1993,USA,103,X
793,792,Ferris Bueller's Day Off,"Hughes, John",1986,USA,103,X
826,848,Grizzly Man,"Herzog, Werner",2005,USA,103,X
832,822,She Wore a Yellow Ribbon,"Ford, John",1949,USA,103,X
838,838,"Son, The","Dardenne, Jean-Pierre & Luc Dardenne",2002,Belgium,103,
861,851,Shame,"Bergman, Ingmar",1968,Sweden,103,X
891,883,"Spring, Summer, Autumn, Winter… and Spring",Kim Ki-duk,2003,South Korea,103,
913,901,"End of Summer, The","Ozu, Yasujiro",1961,Japan,103,
11,11,Singin' in the Rain,"Donen, Stanley & Gene Kelly",1952,USA,102,X
38,38,Casablanca,"Curtiz, Michael",1942,USA,102,X
81,78,"Man Escaped, A","Bresson, Robert",1956,France,102,X
123,122,Bringing Up Baby,"Hawks, Howard",1938,USA,102,X
413,418,Lost in Translation,"Coppola, Sofia",2003,USA,102,X
451,440,French Cancan,"Renoir, Jean",1955,France,102,
452,461,À nos amours,"Pialat, Maurice",1983,France,102,
650,640,My Own Private Idaho,"Van Sant, Gus",1991,USA,102,
686,691,Robocop,"Verhoeven, Paul",1987,USA,102,X
729,741,"New Leaf, A","May, Elaine",1971,USA,102,
751,738,Paper Moon,"Bogdanovich, Peter",1973,USA,102,X
878,870,"Adventures of Robin Hood, The","Curtiz, Michael & William Keighley",1938,USA,102,X
886,886,"Night of Counting the Years, The","Salam, Shadi Abdel",1969,Egypt,102,
943,931,Dirty Harry,"Siegel, Don",1971,USA,102,X
117,117,"Wizard of Oz, The","Fleming, Victor",1939,USA,101,X
127,130,Notorious,"Hitchcock, Alfred",1946,USA,101,X
220,220,"Samouraï, Le","Melville, Jean-Pierre",1967,France,101,
296,293,All About My Mother,"Almodóvar, Pedro",1999,Spain,101,
374,374,Peeping Tom,"Powell, Michael",1960,UK,101,X
381,376,Two-Lane Blacktop,"Hellman, Monte",1971,USA,101,
403,401,"Thin Blue Line, The","Morris, Errol",1988,USA,101,X
556,545,Strangers on a Train,"Hitchcock, Alfred",1951,USA,101,X
744,727,"Tiger of Eschnapur, The","Lang, Fritz",1958,West Germany,101,
799,796,35 Shots of Rum,"Denis, Claire",2008,France,101,
800,793,Trouble Every Day,"Denis, Claire",2001,France,101,
809,816,Shock Corridor,"Fuller, Samuel",1963,USA,101,X
820,814,My Life as a Dog,"Hallström, Lasse",1985,Sweden,101,
928,946,Before Sunrise,"Linklater, Richard",1995,USA,101,
96,96,Sans soleil,"Marker, Chris",1983,France,100,X
176,172,"Discreet Charm of the Bourgeoisie, The","Buñuel, Luis",1972,France,100,X
262,256,Belle de jour,"Buñuel, Luis",1967,France,100,
266,276,Three Colours: Blue,"Kieslowski, Krzysztof",1993,France,100,
308,307,"Maltese Falcon, The","Huston, John",1941,USA,100,X
379,368,"I Was Born, But...","Ozu, Yasujiro",1932,Japan,100,X
447,443,"Innocents, The","Clayton, Jack",1961,UK,100,
502,525,To Have and Have Not,"Hawks, Howard",1944,USA,100,X
517,512,Crash,"Cronenberg, David",1996,Canada,100,X
557,559,Young Mr. Lincoln,"Ford, John",1939,USA,100,X
595,587,"Taking of Power by Louis XIV, The","Rossellini, Roberto",1966,France,100,
618,621,My Friend Ivan Lapshin,"German, Aleksei",1985,USSR,100,
635,632,"Golden Coach, The","Renoir, Jean",1952,Italy,100,
657,643,Walkabout,"Roeg, Nicolas",1971,UK,100,X
785,817,Chikamatsu monogatari,"Mizoguchi, Kenji",1954,Japan,100,
794,801,Requiem for a Dream,"Aronofsky, Darren",2000,USA,100,X
859,850,"Too Early, Too Late","Straub, Jean-Marie & Danièle Huillet",1981,France,100,
896,897,Caro diario,"Moretti, Nanni",1993,Italy,100,
988,972,"Bête humaine, La","Renoir, Jean",1938,France,100,X
27,26,"400 Blows, The","Truffaut, François",1959,France,99,X
55,54,M,"Lang, Fritz",1931,Germany,99,X
98,102,To Be or Not to Be,"Lubitsch, Ernst",1942,USA,99,X
184,182,"River, The","Renoir, Jean",1951,France,99,
194,192,Black Narcissus,"Powell, Michael & Emeric Pressburger",1947,UK,99,X
257,255,"Green Ray, The","Rohmer, Eric",1986,France,99,
276,273,Taste of Cherry,"Kiarostami, Abbas",1997,Iran,99,
295,289,Three Colours: Red,"Kieslowski, Krzysztof",1994,France,99,X
378,366,Written on the Wind,"Sirk, Douglas",1956,USA,99,
482,488,Reservoir Dogs,"Tarantino, Quentin",1992,USA,99,X
559,548,Russian Ark,"Sokurov, Aleksandr",2002,Russia,99,
661,649,Top Hat,"Sandrich, Mark",1935,USA,99,X
706,688,"Party, The","Edwards, Blake",1968,USA,99,
889,877,"Miracle of Morgan's Creek, The","Sturges, Preston",1944,USA,99,X
930,963,Shaun of the Dead,"Wright, Edgar",2004,UK,99,X
47,48,Close-Up,"Kiarostami, Abbas",1990,Iran,98,X
195,191,Spring in a Small Town,Fei Mu,1948,China,98,
271,269,Fargo,"Coen, Joel & Ethan Coen",1996,USA,98,X
373,381,Teorema,"Pasolini, Pier Paolo",1968,Italy,98,
391,384,Tristana,"Buñuel, Luis",1970,Spain,98,
457,460,Songs from the Second Floor,"Andersson, Roy",2000,Sweden,98,
500,501,Five Easy Pieces,"Rafelson, Bob",1970,USA,98,X
550,552,"Haine, La","Kassovitz, Mathieu",1995,France,98,
562,553,WALL-E,"Stanton, Andrew",2008,USA,98,X
747,734,"Oh, Sun","Hondo, Med",1970,France,98,
846,839,Female Trouble,"Waters, John",1974,USA,98,
876,868,Outskirts,"Barnet, Boris",1933,USSR,98,
904,903,Deep Red,"Argento, Dario",1975,Italy,98,X
17,17,In the Mood for Love,Wong Kar-wai,2000,Hong Kong,97,X
69,68,Journey to Italy,"Rossellini, Roberto",1954,Italy,97,X
139,135,My Darling Clementine,"Ford, John",1946,USA,97,
187,189,Out of the Past,"Tourneur, Jacques",1947,USA,97,X
243,240,Memories of Underdevelopment,"Gutiérrez Alea, Tomás",1968,Cuba,97,
281,277,"Shop Around the Corner, The","Lubitsch, Ernst",1940,USA,97,X
299,296,Happy Together,Wong Kar-wai,1997,Hong Kong,97,
347,345,"Double Life of Véronique, The","Kieslowski, Krzysztof",1991,France,97,
421,421,"Plaisir, Le","Ophüls, Max",1952,France,97,
434,430,Shadows of Forgotten Ancestors,"Parajanov, Sergei",1965,USSR,97,
487,475,Carrie,"De Palma, Brian",1976,USA,97,X
566,563,Morvern Callar,"Ramsay, Lynne",2002,UK,97,
575,564,Sambizanga,"Maldoror, Sarah",1972,Angola,97,
665,664,"Lady Vanishes, The","Hitchcock, Alfred",1938,UK,97,X
786,776,"American Werewolf in London, An","Landis, John",1981,UK,97,X
835,860,Irréversible,"Noé, Gaspar",2002,France,97,
865,867,Clueless,"Heckerling, Amy",1995,USA,97,X
935,939,Blood Simple,"Coen, Joel & Ethan Coen",1984,USA,97,X
971,,"Long Farewell, The","Muratova, Kira",1971,USSR,97,
978,978,"Breakfast Club, The","Hughes, John",1985,USA,97,X
998,985,Sweetie,"Campion, Jane",1989,Australia,97,
58,57,Ugetsu monogatari,"Mizoguchi, Kenji",1953,Japan,96,X
84,82,"Seventh Seal, The","Bergman, Ingmar",1957,Sweden,96,X
162,159,Manhattan,"Allen, Woody",1979,USA,96,X
173,174,Stagecoach,"Ford, John",1939,USA,96,X
234,238,Ashes and Diamonds,"Wajda, Andrzej",1958,Poland,96,
247,251,"Ivan the Terrible, Part I","Eisenstein, Sergei",1944,USSR,96,
278,279,Sweet Smell of Success,"Mackendrick, Alexander",1957,USA,96,X
353,356,Night of the Living Dead,"Romero, George A.",1968,USA,96,X
543,579,"Night at the Opera, A","Wood, Sam",1935,USA,96,X
573,578,Mad Max 2,"Miller, George",1981,Australia,96,X
584,583,"Silence, The","Bergman, Ingmar",1963,Sweden,96,X
634,634,Don't Look Back,"Pennebaker, D.A.",1967,USA,96,X
640,647,Casque d'or,"Becker, Jacques",1952,France,96,
676,663,Fat City,"Huston, John",1972,USA,96,X
718,709,Hunger,"McQueen, Steve",2008,UK,96,
741,736,Love Me Tonight,"Mamoulian, Rouben",1932,USA,96,
742,744,"Fly, The","Cronenberg, David",1986,USA,96,X
828,835,"Naked Island, The","Shindo, Kaneto",1960,Japan,96,
844,847,Persepolis,"Paronnaud, Vincent & Marjane Satrapi",2007,France,96,
936,940,"History of Violence, A","Cronenberg, David",2005,USA,96,X
984,966,Summer with Monika,"Bergman, Ingmar",1953,Sweden,96,X
29,29,Au hasard Balthazar,"Bresson, Robert",1966,France,95,X
112,112,"Spirit of the Beehive, The","Erice, Victor",1973,Spain,95,
133,138,"Exterminating Angel, The","Buñuel, Luis",1962,Mexico,95,
157,153,Days of Heaven,"Malick, Terrence",1978,USA,95,X
165,165,Badlands,"Malick, Terrence",1973,USA,95,X
307,303,"Music Room, The","Ray, Satyajit",1958,India,95,
324,322,"Belle et la bête, La","Cocteau, Jean",1946,France,95,X
344,364,"Cranes Are Flying, The","Kalatozov, Mikhail",1957,USSR,95,
410,411,Orpheus,"Cocteau, Jean",1950,France,95,
412,416,Miracle in Milan,"De Sica, Vittorio",1951,Italy,95,
529,533,12 Angry Men,"Lumet, Sidney",1957,USA,95,X
555,556,Punch-Drunk Love,"Anderson, Paul Thomas",2002,USA,95,X
561,549,"Devil, Probably, The","Bresson, Robert",1977,France,95,
590,591,Bande à part,"Godard, Jean-Luc",1964,France,95,
591,588,Bigger Than Life,"Ray, Nicholas",1956,USA,95,
605,590,Grey Gardens,"Maysles, David/Albert Maysles/Ellen Hovde/Muffie Meyer",1975,USA,95,X
630,616,"Ladies Man, The","Lewis, Jerry",1961,USA,95,X
633,631,Alphaville,"Godard, Jean-Luc",1965,France,95,
646,642,They Live by Night,"Ray, Nicholas",1948,USA,95,X
687,706,When Harry Met Sally...,"Reiner, Rob",1989,USA,95,X
690,681,Trainspotting,"Boyle, Danny",1996,UK,95,X
726,724,Antonio das Mortes,"Rocha, Glauber",1969,Brazil,95,
816,832,"Sur, El","Erice, Victor",1983,Spain,95,
921,917,Night of the Demon,"Tourneur, Jacques",1957,UK,95,
934,943,Near Dark,"Bigelow, Kathryn",1987,USA,95,X
948,950,"Chienne, La","Renoir, Jean",1931,France,95,X
107,104,Ali: Fear Eats the Soul,"Fassbinder, Rainer Werner",1974,West Germany,94,
108,107,"Aguirre, the Wrath of God","Herzog, Werner",1972,West Germany,94,X
109,110,Annie Hall,"Allen, Woody",1977,USA,94,X
111,109,Last Year at Marienbad,"Resnais, Alain",1961,France,94,
198,199,"Lady Eve, The","Sturges, Preston",1941,USA,94,X
395,397,Orlando,"Potter, Sally",1992,UK,94,
436,428,Days of Being Wild,Wong Kar-wai,1990,Hong Kong,94,X
454,437,Ivan's Childhood,"Tarkovsky, Andrei",1962,USSR,94,X
542,532,Rosetta,"Dardenne, Jean-Pierre & Luc Dardenne",1999,Belgium,94,
580,581,Easy Rider,"Hopper, Dennis",1969,USA,94,X
655,671,Nazarín,"Buñuel, Luis",1958,Mexico,94,
656,678,Ratcatcher,"Ramsay, Lynne",1999,UK,94,
699,693,Chronicle of Anna Magdalena Bach,"Straub, Jean-Marie",1968,West Germany,94,
759,748,Raising Arizona,"Coen, Joel & Ethan Coen",1987,USA,94,X
777,762,Good Morning,"Ozu, Yasujiro",1959,Japan,94,X
933,914,"Boucher, Le","Chabrol, Claude",1970,France,94,
981,968,Ride the High Country,"Peckinpah, Sam",1962,USA,94,
66,66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Kubrick, Stanley",1964,UK,93,X
462,467,Grave of the Fireflies,"Takahata, Isao",1988,Japan,93,X
505,505,Monty Python's Life of Brian,"Jones, Terry",1979,UK,93,X
593,586,Halloween,"Carpenter, John",1978,USA,93,X
651,659,Scarface,"Hawks, Howard",1932,USA,93,X
678,666,"Posto, Il","Olmi, Ermanno",1961,Italy,93,
683,687,Rushmore,"Anderson, Wes",1998,USA,93,X
899,915,They Live,"Carpenter, John",1988,USA,93,
958,951,Perfumed Nightmare,"Tahimik, Kidlat",1977,Philippines,93,
36,36,"Night of the Hunter, The","Laughton, Charles",1955,USA,92,X
52,51,Beau travail,"Denis, Claire",1999,France,92,X
141,140,His Girl Friday,"Hawks, Howard",1940,USA,92,X
362,363,Make Way for Tomorrow,"McCarey, Leo",1937,USA,92,X
405,396,I Know Where I'm Going!,"Powell, Michael & Emeric Pressburger",1945,UK,92,X
406,402,Suspiria,"Argento, Dario",1977,Italy,92,
419,412,"Awful Truth, The","McCarey, Leo",1937,USA,92,X
540,536,Point Blank,"Boorman, John",1967,USA,92,X
631,622,Pink Flamingos,"Waters, John",1972,USA,92,
784,786,Morocco,"von Sternberg, Josef",1930,USA,92,X
969,952,Sawdust and Tinsel,"Bergman, Ingmar",1953,Sweden,92,X
987,969,Anatahan,"von Sternberg, Josef",1953,Japan,92,
990,,Elevator to the Gallows,"Malle, Louis",1958,France,92,
120,119,Hiroshima mon amour,"Resnais, Alain",1959,France,91,X
148,148,"Umbrellas of Cherbourg, The","Demy, Jacques",1964,France,91,X
228,228,Sullivan's Travels,"Sturges, Preston",1941,USA,91,X
248,250,In a Lonely Place,"Ray, Nicholas",1950,USA,91,X
355,346,El,"Buñuel, Luis",1953,Mexico,91,
372,372,Harold and Maude,"Ashby, Hal",1971,USA,91,X
604,589,Gentlemen Prefer Blondes,"Hawks, Howard",1953,USA,91,
696,686,Gimme Shelter,"Maysles, Albert/David Maysles/Charlotte Zwerin",1970,USA,91,X
723,712,"Hawks and the Sparrows, The","Pasolini, Pier Paolo",1966,Italy,91,
746,743,Phantom of the Paradise,"De Palma, Brian",1974,USA,91,
757,780,Big Deal on Madonna Street,"Monicelli, Mario",1958,Italy,91,
848,869,Angel,"Lubitsch, Ernst",1937,USA,91,
881,872,Red Sorghum,Zhang Yimou,1987,China,91,
911,962,Port of Shadows,"Carné, Marcel",1938,France,91,
912,919,"Criminal Life of Archibaldo de la Cruz, The","Buñuel, Luis",1955,Mexico,91,
967,960,"Tarnished Angels, The","Sirk, Douglas",1957,USA,91,
62,61,Wild Strawberries,"Bergman, Ingmar",1957,Sweden,90,X
80,88,Viridiana,"Buñuel, Luis",1961,Spain,90,X
97,97,Cléo from 5 to 7,"Varda, Agnès",1962,France,90,X
130,127,Letter from an Unknown Woman,"Ophüls, Max",1948,USA,90,
156,152,"Argent, L'","Bresson, Robert",1983,France,90,
259,313,"Verdugo, El","García Berlanga, Luis",1963,Spain,90,
319,312,Videodrome,"Cronenberg, David",1983,Canada,90,X
338,334,Broken Blossoms,"Griffith, D.W.",1919,USA,90,X
449,436,"Crime of Monsieur Lange, The","Renoir, Jean",1936,France,90,
470,464,"Palm Beach Story, The","Sturges, Preston",1942,USA,90,X
484,477,Lola,"Demy, Jacques",1961,France,90,
546,541,Nostalgia for the Light,"Guzmán, Patricio",2010,France,90,
619,607,"Round-Up, The","Jancsó, Miklós",1966,Hungary,90,
644,655,"Watermelon Woman, The","Dunye, Cheryl",1996,USA,90,
712,690,Nouvelle vague,"Godard, Jean-Luc",1990,France,90,
719,708,"Sun Shines Bright, The","Ford, John",1953,USA,90,
728,733,"Big Heat, The","Lang, Fritz",1953,USA,90,X
737,735,Design for Living,"Lubitsch, Ernst",1933,USA,90,
860,857,Toute une nuit,"Akerman, Chantal",1982,Belgium,90,
869,855,Spione,"Lang, Fritz",1928,Germany,90,
