Pos,2024,Title,Director,Year,Country,Mins,Seen
533,544,Boyhood,"Linklater, Richard",2014,USA,165,X
922,921,"Last Temptation of Christ, The","Scorsese, Martin",1988,USA,164,X
212,209,"Life and Death of Colonel Blimp, The","Powell, Michael & Emeric Pressburger",1943,UK,163,X
952,944,"Last Emperor, The","Bertolucci, Bernardo",1987,China,163,X
450,487,Toni Erdmann,"Ade, Maren",2016,Germany,162,
507,502,Marketa Lazarová,"Vlácil, Frantisek",1967,Czechoslovakia,162,X
996,987,Sholay,"Sippy, Ramesh",1975,India,162,
154,156,"Good, the Bad and the Ugly, The","Leone, Sergio",1966,Italy,161,X
178,184,Ran,"Kurosawa, Akira",1985,France,161,X
499,498,"Bridge on the River Kwai, The","Lean, David",1957,UK,161,X
852,845,Once Upon a Time... in Hollywood,"Tarantino, Quentin",2019,USA,161,X
962,980,Avatar,"Cameron, James",2009,USA,161,X
999,994,"Godfather Part III, The","Coppola, Francis Ford",1990,USA,161,X
48,47,Stalker,"Tarkovsky, Andrei",1979,USSR,160,X
92,90,Nashville,"Altman, Robert",1975,USA,160,
444,462,"Terra trema, La","Visconti, Luchino",1948,Italy,160,
919,922,Anatomy of a Murder,"Preminger, Otto",1959,USA,160,
264,271,Eyes Wide Shut,"Kubrick, Stanley",1999,USA,159,X
565,570,Kagemusha,"Kurosawa, Akira",1980,Japan,159,X
153,161,There Will Be Blood,"Anderson, Paul Thomas",2007,USA,158,X
332,337,Amadeus,"Forman, Milos",1984,USA,158,X
429,433,"Angel at My Table, An","Campion, Jane",1990,New Zealand,158,X
606,625,Zodiac,"Fincher, David",2007,USA,158,X
770,760,"Age of the Earth, The","Rocha, Glauber",1980,Brazil,158,
810,818,Van Gogh,"Pialat, Maurice",1991,France,158,
202,197,"City of Sadness, A",Hou Hsiao-hsien,1989,Taiwan,157,
375,369,Fitzcarraldo,"Herzog, Werner",1982,West Germany,157,X
492,481,Once Upon a Time in Anatolia,"Ceylan, Nuri Bilge",2011,Turkey,157,
609,602,Hatari!,"Hawks, Howard",1962,USA,157,X
217,219,Breaking the Waves,"von Trier, Lars",1996,Denmark,156,X
73,74,"Woman Under the Influence, A","Cassavetes, John",1974,USA,155,X
256,261,Cinema Paradiso,"Tornatore, Giuseppe",1988,Italy,155,X
383,391,"Turin Horse, The","Tarr, Béla",2011,Hungary,155,
521,511,Boogie Nights,"Anderson, Paul Thomas",1997,USA,155,X
528,515,"Damned, The","Visconti, Luchino",1969,Italy,155,
