Pos	2019	2018	Title	Director	Year	Country	Length	Genre	Colour	Seen
438	441	0	Accattone	Pasolini, Pier Paolo	1961	Italy	120	null	null	false
467	516	0	Pan's Labyrinth	del Toro, Guillermo	2006	Spain	120	null	null	true
516	508	0	Oldboy	Park Chan-wook	2003	South Korea	120	null	null	true
577	572	0	Testament of Dr. Mabuse, The	Lang, Fritz	1933	Germany	120	null	null	true
600	601	0	Crouching Tiger, Hidden Dragon	Lee, Ang	2000	Taiwan	120	null	null	true
660	665	0	Marriage of Maria Braun, The	Fassbinder, Rainer Werner	1979	West Germany	120	null	null	false
752	745	0	Social Network, The	Fincher, David	2010	USA	120	null	null	true
918	909	0	Ceddo	Sembene, Ousmane	1977	Senegal	120	null	null	false
1	1	0	Citizen Kane	Welles, Orson	1941	USA	119	null	null	true
9	9	0	Searchers, The	Ford, John	1956	USA	119	null	null	true
83	91	0	Man Who Shot Liberty Valance, The	Ford, John	1962	USA	119	null	null	true
166	164	0	Passenger, The	Antonioni, Michelangelo	1975	Italy	119	null	null	false
179	180	0	Birds, The	Hitchcock, Alfred	1963	USA	119	null	null	true
384	386	0	Safe	Haynes, Todd	1995	USA	119	null	null	false
431	451	0	Twenty Years Later	Coutinho, Eduardo	1984	Brazil	119	null	null	false
648	641	0	Rocky	Avildsen, John G.	1976	USA	119	null	null	true
667	658	0	Millennium Mambo	Hou Hsiao-hsien	2001	Taiwan	119	null	null	false
779	766	0	Trial, The	Welles, Orson	1962	France	119	null	null	false
803	782	0	Taipei Story	Yang, Edward	1985	Taiwan	119	null	null	false
890	882	0	Akira Kurosawa's Dreams	Kurosawa, Akira	1990	Japan	119	null	null	true
932	933	0	7th Heaven	Borzage, Frank	1927	USA	119	null	null	false
965	958	0	Léon	Besson, Luc	1994	France	119	null	null	true
986	988	0	Host, The	Bong Joon-ho	2006	South Korea	119	null	null	true
39	41	0	Blade Runner	Scott, Ridley	1982	USA	118	null	null	true
164	162	0	Tropical Malady	Weerasethakul, Apichatpong	2004	Thailand	118	null	null	false
236	234	0	Red Desert	Antonioni, Michelangelo	1964	Italy	118	null	null	false
357	351	0	Last Picture Show, The	Bogdanovich, Peter	1971	USA	118	null	null	true
358	358	0	How Green Was My Valley	Ford, John	1941	USA	118	null	null	true
369	375	0	Silence of the Lambs, The	Demme, Jonathan	1991	USA	118	null	null	true
503	495	0	Shane	Stevens, George	1953	USA	118	null	null	true
508	494	0	After Life	Koreeda, Hirokazu	1998	Japan	118	null	null	false
538	550	0	Wind Will Carry Us, The	Kiarostami, Abbas	1999	France	118	null	null	false
716	714	0	Carol	Haynes, Todd	2015	UK	118	null	null	true
738	739	0	Bad and the Beautiful, The	Minnelli, Vincente	1952	USA	118	null	null	true
773	759	0	Vive L'Amour	Tsai Ming-liang	1994	Taiwan	118	null	null	false
778	763	0	Great Expectations	Lean, David	1946	UK	118	null	null	true
802	783	0	Code Unknown	Haneke, Michael	2000	France	118	null	null	false
917	949	0	Tabu	Gomes, Miguel	2012	Portugal	118	null	null	false
926	932	0	Roman Holiday	Wyler, William	1953	USA	118	null	null	true
61	60	0	Grande illusion, La	Renoir, Jean	1937	France	117	null	null	true
128	131	0	Alien	Scott, Ridley	1979	USA	117	null	null	true
201	196	0	Salò, or the 120 Days of Sodom	Pasolini, Pier Paolo	1975	Italy	117	null	null	false
245	247	0	Caché	Haneke, Michael	2005	France	117	null	null	true
309	306	0	Charulata	Ray, Satyajit	1964	India	117	null	null	false
587	580	0	Barton Fink	Coen, Joel & Ethan Coen	1991	USA	117	null	null	true
750	802	0	Idiots, The	von Trier, Lars	1998	Denmark	117	null	null	false
781	768	0	Foolish Wives	von Stroheim, Erich	1922	USA	117	null	null	false
94	94	0	Gertrud	Dreyer, Carl Theodor	1964	Denmark	116	null	null	false
279	292	0	Back to the Future	Zemeckis, Robert	1985	USA	116	null	null	true
328	317	0	Lola Montès	Ophüls, Max	1955	France	116	null	null	false
532	529	0	Faust	Murnau, F.W.	1926	Germany	116	null	null	true
601	592	0	Tootsie	Pollack, Sydney	1982	USA	116	null	null	true
612	609	0	Full Metal Jacket	Kubrick, Stanley	1987	USA	116	null	null	true
937	926	0	Seven Beauties	Wertmüller, Lina	1975	Italy	116	null	null	false
74	73	0	Strada, La	Fellini, Federico	1954	Italy	115	null	null	true
132	136	0	E.T. The Extra-Terrestrial	Spielberg, Steven	1982	USA	115	null	null	true
186	186	0	Chimes at Midnight	Welles, Orson	1965	Switzerland	115	null	null	false
200	207	0	Raiders of the Lost Ark	Spielberg, Steven	1981	USA	115	null	null	true
240	239	0	Autumn Afternoon, An	Ozu, Yasujiro	1962	Japan	115	null	null	true
366	361	0	Muriel	Resnais, Alain	1963	France	115	null	null	false
370	379	0	Affair to Remember, An	McCarey, Leo	1957	USA	115	null	null	true
432	423	0	Holy Motors	Carax, Leos	2012	France	115	null	null	false
459	466	0	Act of Killing, The	Oppenheimer, Joshua	2012	Denmark	115	null	null	true
493	485	0	Zama	Martel, Lucrecia	2017	Argentina	115	null	null	false
523	513	0	Dead Ringers	Cronenberg, David	1988	Canada	115	null	null	true
525	534	0	East of Eden	Kazan, Elia	1955	USA	115	null	null	true
592	598	0	Servant, The	Losey, Joseph	1963	UK	115	null	null	false
792	794	0	Miller's Crossing	Coen, Joel & Ethan Coen	1990	USA	115	null	null	true
872	858	0	Breakfast at Tiffany's	Edwards, Blake	1961	USA	115	null	null	true
892	893	0	Stroszek	Herzog, Werner	1977	West Germany	115	null	null	false
910	904	0	River, The	Tsai Ming-liang	1997	Taiwan	115	null	null	false
920	916	0	American in Paris, An	Minnelli, Vincente	1951	USA	115	null	null	true
267	263	0	Uncle Boonmee Who Can Recall His Past Lives	Weerasethakul, Apichatpong	2010	Thailand	114	null	null	false
297	294	0	Big Sleep, The	Hawks, Howard	1946	USA	114	null	null	true
397	392	0	Limite	Peixoto, Mario	1931	Brazil	114	null	null	false
715	698	0	Holy Mountain, The	Jodorowsky, Alejandro	1973	Mexico	114	null	null	false
798	785	0	Diaboliques, Les	Clouzot, Henri-Georges	1955	France	114	null	null	true
833	913	0	Let the Right One In	Alfredson, Tomas	2008	Sweden	114	null	null	true
847	841	0	White Heat	Walsh, Raoul	1949	USA	114	null	null	true
925	945	0	Fountainhead, The	Vidor, King	1949	USA	114	null	null	false
5	5	0	Rules of the Game, The	Renoir, Jean	1939	France	113	null	null	true
15	14	0	Taxi Driver	Scorsese, Martin	1976	USA	113	null	null	true
150	150	0	Conversation, The	Coppola, Francis Ford	1974	USA	113	null	null	true
222	218	0	Kes	Loach, Ken	1969	UK	113	null	null	false
250	253	0	Big Lebowski, The	Coen, Joel & Ethan Coen	1998	USA	113	null	null	true
253	249	0	Meet Me in St. Louis	Minnelli, Vincente	1944	USA	113	null	null	true
342	343	0	Midnight Cowboy	Schlesinger, John	1969	USA	113	null	null	true
423	424	0	Europa '51	Rossellini, Roberto	1952	Italy	113	null	null	false
571	565	0	Wedding March, The	von Stroheim, Erich	1928	USA	113	null	null	false
708	710	0	4 Months, 3 Weeks and 2 Days	Mungiu, Cristian	2007	Romania	113	null	null	false
763	797	0	Memento	Nolan, Christopher	2000	USA	113	null	null	true
819	811	0	Still Life	Jia Zhangke	2006	China	113	null	null	false
954	942	0	Ice Storm, The	Lee, Ang	1997	USA	113	null	null	false
40	39	0	Rear Window	Hitchcock, Alfred	1954	USA	112	null	null	true
46	44	0	Pather Panchali	Ray, Satyajit	1955	India	112	null	null	true
249	245	0	Band Wagon, The	Minnelli, Vincente	1953	USA	112	null	null	true
258	254	0	Daughters of the Dust	Dash, Julie	1991	USA	112	null	null	false
325	329	0	Philadelphia Story, The	Cukor, George	1940	USA	112	null	null	true
428	439	0	Long Goodbye, The	Altman, Robert	1973	USA	112	null	null	true
472	471	0	Talk to Her	Almodóvar, Pedro	2002	Spain	112	null	null	true
625	633	0	Asphalt Jungle, The	Huston, John	1950	USA	112	null	null	true
652	645	0	Bring Me the Head of Alfredo Garcia	Peckinpah, Sam	1974	USA	112	null	null	true
677	718	0	Ace in the Hole	Wilder, Billy	1951	USA	112	null	null	true
900	902	0	Zabriskie Point	Antonioni, Michelangelo	1970	USA	112	null	null	false
122	124	0	Blow-Up	Antonioni, Michelangelo	1966	Italy	111	null	null	false
216	216	0	Moonlight	Jenkins, Barry	2016	USA	111	null	null	true
290	285	0	Ascent, The	Shepitko, Larisa	1977	USSR	111	null	null	false
333	335	0	Bonnie and Clyde	Penn, Arthur	1967	USA	111	null	null	true
426	442	0	If….	Anderson, Lindsay	1968	UK	111	null	null	true
695	684	0	Local Hero	Forsyth, Bill	1983	UK	111	null	null	true
705	689	0	Cure	Kurosawa, Kiyoshi	1997	Japan	111	null	null	false
740	725	0	Grido, Il	Antonioni, Michelangelo	1957	Italy	111	null	null	false
776	791	0	Rebel Without a Cause	Ray, Nicholas	1955	USA	111	null	null	true
8	8	0	Sunrise: A Song of Two Humans	Murnau, F.W.	1927	USA	110	null	null	true
19	18	0	Passion of Joan of Arc, The	Dreyer, Carl Theodor	1928	France	110	null	null	true
43	46	0	Sunset Blvd.	Wilder, Billy	1950	USA	110	null	null	true
68	67	0	Pierrot le fou	Godard, Jean-Luc	1965	France	110	null	null	true
119	121	0	Don't Look Now	Roeg, Nicolas	1973	UK	110	null	null	true
183	185	0	Johnny Guitar	Ray, Nicholas	1954	USA	110	null	null	true
191	200	0	Nights of Cabiria	Fellini, Federico	1957	Italy	110	null	null	false
231	230	0	Black God, White Devil	Rocha, Glauber	1964	Brazil	110	null	null	false
286	286	0	Throne of Blood	Kurosawa, Akira	1957	Japan	110	null	null	true
287	282	0	Day of Wrath	Dreyer, Carl Theodor	1943	Denmark	110	null	null	false
303	298	0	Mean Streets	Scorsese, Martin	1973	USA	110	null	null	true
371	371	0	Yojimbo	Kurosawa, Akira	1961	Japan	110	null	null	true
440	432	0	Scarlet Empress, The	von Sternberg, Josef	1934	USA	110	null	null	true
524	514	0	Enigma of Kaspar Hauser, The	Herzog, Werner	1974	West Germany	110	null	null	false
530	519	0	Alice in the Cities	Wenders, Wim	1974	West Germany	110	null	null	false
541	567	0	Ninotchka	Lubitsch, Ernst	1939	USA	110	null	null	true
552	546	0	Picnic at Hanging Rock	Weir, Peter	1975	Australia	110	null	null	true
560	571	0	Butch Cassidy and the Sundance Kid	Hill, George Roy	1969	USA	110	null	null	true
610	605	0	West Indies	Hondo, Med	1979	France	110	null	null	false
620	604	0	Providence	Resnais, Alain	1977	France	110	null	null	false
691	677	0	Hyènes	Diop Mambéty, Djibril	1992	Senegal	110	null	null	false
693	749	0	Distant	Ceylan, Nuri Bilge	2002	Turkey	110	null	null	false
753	740	0	Triumph of the Will	Riefenstahl, Leni	1935	Germany	110	null	null	true
780	787	0	Mamma Roma	Pasolini, Pier Paolo	1962	Italy	110	null	null	false
875	924	0	Cría cuervos	Saura, Carlos	1976	Spain	110	null	null	false
929	927	0	Killer, The	Woo, John	1989	Hong Kong	110	null	null	false
942	957	0	American Graffiti	Lucas, George	1973	USA	110	null	null	true
953	965	0	Return, The	Zvyagintsev, Andrey	2003	Russia	110	null	null	false
994	976	0	Gilda	Vidor, Charles	1946	USA	110	null	null	false
26	28	0	Psycho	Hitchcock, Alfred	1960	USA	109	null	null	true
321	330	0	In the Realm of the Senses	Oshima, Nagisa	1976	Japan	109	null	null	false
340	338	0	King of Comedy, The	Scorsese, Martin	1982	USA	109	null	null	true
387	380	0	Killing of a Chinese Bookie, The	Cassavetes, John	1976	USA	109	null	null	true
547	569	0	Children of Men	Cuarón, Alfonso	2006	USA	109	null	null	true
615	620	0	Deliverance	Boorman, John	1972	USA	109	null	null	true
617	611	0	Devils, The	Russell, Ken	1971	UK	109	null	null	true
641	656	0	Royal Tenenbaums, The	Anderson, Wes	2001	USA	109	null	null	true
697	700	0	Wake in Fright	Kotcheff, Ted	1971	Australia	109	null	null	false
947	0	0	Dust in the Wind	Hou Hsiao-hsien	1986	Taiwan	109	null	null	false
41	45	0	Touch of Evil	Welles, Orson	1958	USA	108	null	null	true
42	40	0	Playtime	Tati, Jacques	1967	France	108	null	null	true
56	53	0	Late Spring	Ozu, Yasujiro	1949	Japan	108	null	null	true
203	203	0	On the Waterfront	Kazan, Elia	1954	USA	108	null	null	true
211	211	0	Thing, The	Carpenter, John	1982	USA	108	null	null	true
254	252	0	Eternal Sunshine of the Spotless Mind	Gondry, Michel	2004	USA	108	null	null	true
390	414	0	Under the Skin	Glazer, Jonathan	2013	UK	108	null	null	false
519	517	0	And Life Goes On...	Kiarostami, Abbas	1992	Iran	108	null	null	false
534	531	0	Aparajito	Ray, Satyajit	1956	India	108	null	null	false
583	573	0	Shadow of a Doubt	Hitchcock, Alfred	1943	USA	108	null	null	true
772	789	0	Two English Girls	Truffaut, François	1971	France	108	null	null	true
806	806	0	Funny Games	Haneke, Michael	1997	Austria	108	null	null	false
823	831	0	Smiles of a Summer Night	Bergman, Ingmar	1955	Sweden	108	null	null	true
23	23	0	Mirror	Tarkovsky, Andrei	1975	USSR	107	null	null	true
87	83	0	Conformist, The	Bertolucci, Bernardo	1970	Italy	107	null	null	false
380	385	0	Stromboli	Rossellini, Roberto	1950	Italy	107	null	null	true
490	489	0	Withnail & I	Robinson, Bruce	1987	UK	107	null	null	false
501	492	0	Blow Out	De Palma, Brian	1981	USA	107	null	null	true
536	535	0	Alexander Nevsky	Eisenstein, Sergei	1938	USSR	107	null	null	true
544	547	0	Terminator, The	Cameron, James	1984	USA	107	null	null	true
588	596	0	D'Est	Akerman, Chantal	1993	Belgium	107	null	null	false
616	653	0	Down by Law	Jarmusch, Jim	1986	USA	107	null	null	true
908	900	0	Phantom Carriage, The	Sjöström, Victor	1921	Sweden	107	null	null	true
973	0	0	Ghostbusters	Reitman, Ivan	1984	USA	107	null	null	true
160	163	0	Cries and Whispers	Bergman, Ingmar	1972	Sweden	106	null	null	true
163	170	0	Double Indemnity	Wilder, Billy	1944	USA	106	null	null	true
275	267	0	Kind Hearts and Coronets	Hamer, Robert	1949	UK	106	null	null	false
305	304	0	Terra em Transe	Rocha, Glauber	1967	Brazil	106	null	null	false
346	342	0	Kiss Me Deadly	Aldrich, Robert	1955	USA	106	null	null	false
549	543	0	Hannah and Her Sisters	Allen, Woody	1986	USA	106	null	null	true
822	827	0	Thief of Bagdad, The	Powell, Michael/Ludwig Berger/Tim Whelan	1940	UK	106	null	null	true
858	873	0	Mikey and Nicky	May, Elaine	1976	USA	106	null	null	true
880	912	0	Atlantics	Diop, Mati	2019	France	106	null	null	false
894	890	0	Woman Next Door, The	Truffaut, François	1981	France	106	null	null	true
104	103	0	Madame de...	Ophüls, Max	1953	France	105	null	null	false
142	154	0	Rome, Open City	Rossellini, Roberto	1945	Italy	105	null	null	true
151	151	0	Wanda	Loden, Barbara	1970	USA	105	null	null	true
207	198	0	Vagabond	Varda, Agnès	1985	France	105	null	null	false
244	241	0	Performance	Roeg, Nicolas & Donald Cammell	1970	UK	105	null	null	false
260	260	0	Graduate, The	Nichols, Mike	1967	USA	105	null	null	true
277	280	0	My Night at Maud's	Rohmer, Eric	1969	France	105	null	null	true
341	341	0	Wages of Fear, The	Clouzot, Henri-Georges	1953	France	105	null	null	false
345	344	0	Weekend	Godard, Jean-Luc	1967	France	105	null	null	true
361	367	0	It Happened One Night	Capra, Frank	1934	USA	105	null	null	true
456	446	0	Festen	Vinterberg, Thomas	1998	Denmark	105	null	null	false
474	470	0	Syndromes and a Century	Weerasethakul, Apichatpong	2006	Thailand	105	null	null	false
537	526	0	Yeelen	Cissé, Souleymane	1987	Mali	105	null	null	false
598	599	0	Repulsion	Polanski, Roman	1965	UK	105	null	null	true
632	626	0	Portrait of Jason	Clarke, Shirley	1967	USA	105	null	null	false
666	672	0	Arrebato	Zulueta, Iván	1979	Spain	105	null	null	false
673	695	0	Young Frankenstein	Brooks, Mel	1974	USA	105	null	null	true
743	747	0	Y tu mamá también	Cuarón, Alfonso	2001	Mexico	105	null	null	false
771	758	0	Veronika Voss	Fassbinder, Rainer Werner	1982	West Germany	105	null	null	false
831	826	0	Edward Scissorhands	Burton, Tim	1990	USA	105	null	null	true
839	833	0	Funeral Parade of Roses	Matsumoto, Toshio	1969	Japan	105	null	null	false
863	887	0	Claire's Knee	Rohmer, Eric	1970	France	105	null	null	false
887	884	0	African Queen, The	Huston, John	1951	UK	105	null	null	true
941	990	0	Sorpasso, Il	Risi, Dino	1962	Italy	105	null	null	false
983	999	0	Last Detail, The	Ashby, Hal	1973	USA	105	null	null	false
54	55	0	Third Man, The	Reed, Carol	1949	UK	104	null	null	true
99	98	0	Jules et Jim	Truffaut, François	1962	France	104	null	null	true
131	128	0	Matter of Life and Death, A	Powell, Michael & Emeric Pressburger	1946	UK	104	null	null	true
159	157	0	Chungking Express	Wong Kar-wai	1994	Hong Kong	104	null	null	false
241	236	0	Crowd, The	Vidor, King	1928	USA	104	null	null	true
352	354	0	Get Out	Peele, Jordan	2017	USA	104	null	null	true
407	398	0	Crimes and Misdemeanors	Allen, Woody	1989	USA	104	null	null	true
526	568	0	French Connection, The	Friedkin, William	1971	USA	104	null	null	true
659	651	0	Vitelloni, I	Fellini, Federico	1953	Italy	104	null	null	false
681	667	0	Ghost and Mrs. Muir, The	Mankiewicz, Joseph L.	1947	USA	104	null	null	true
701	705	0	Phantom of Liberty, The	Buñuel, Luis	1974	France	104	null	null	false
902	896	0	Exotica	Egoyan, Atom	1994	Canada	104	null	null	false
914	928	0	Meek's Cutoff	Reichardt, Kelly	2010	USA	104	null	null	false
945	930	0	From the Clouds to the Resistance	Straub, Jean-Marie & Danièle Huillet	1979	Italy	104	null	null	false
45	42	0	Contempt	Godard, Jean-Luc	1963	France	103	null	null	true
205	202	0	King Kong	Cooper, Merian C. & Ernest B. Schoedsack	1933	USA	103	null	null	true
282	275	0	Ciénaga, La	Martel, Lucrecia	2001	Argentina	103	null	null	false
285	281	0	Groundhog Day	Ramis, Harold	1993	USA	103	null	null	true
310	320	0	World of Apu, The	Ray, Satyajit	1959	India	103	null	null	false
368	373	0	Through the Olive Trees	Kiarostami, Abbas	1994	Iran	103	null	null	false
463	452	0	October	Eisenstein, Sergei & Grigori Aleksandrov	1928	USSR	103	null	null	true
468	468	0	Harlan County, U.S.A.	Kopple, Barbara	1976	USA	103	null	null	false
488	473	0	Barren Lives	Pereira dos Santos, Nelson	1963	Brazil	103	null	null	false
506	493	0	Masculin féminin	Godard, Jean-Luc	1966	France	103	null	null	true
576	562	0	Blue Angel, The	von Sternberg, Josef	1930	Germany	103	null	null	false
585	576	0	That Obscure Object of Desire	Buñuel, Luis	1977	France	103	null	null	false
623	628	0	Wicker Man, The	Hardy, Robin	1973	UK	103	null	null	true
645	637	0	Hana-bi	Kitano, Takeshi	1997	Japan	103	null	null	false
734	754	0	Dazed and Confused	Linklater, Richard	1993	USA	103	null	null	true
793	792	0	Ferris Bueller's Day Off	Hughes, John	1986	USA	103	null	null	true
826	848	0	Grizzly Man	Herzog, Werner	2005	USA	103	null	null	true
832	822	0	She Wore a Yellow Ribbon	Ford, John	1949	USA	103	null	null	true
838	838	0	Son, The	Dardenne, Jean-Pierre & Luc Dardenne	2002	Belgium	103	null	null	false
861	851	0	Shame	Bergman, Ingmar	1968	Sweden	103	null	null	true
891	883	0	Spring, Summer, Autumn, Winter… and Spring	Kim Ki-duk	2003	South Korea	103	null	null	false
913	901	0	End of Summer, The	Ozu, Yasujiro	1961	Japan	103	null	null	false
11	11	0	Singin' in the Rain	Donen, Stanley & Gene Kelly	1952	USA	102	null	null	true
38	38	0	Casablanca	Curtiz, Michael	1942	USA	102	null	null	true
81	78	0	Man Escaped, A	Bresson, Robert	1956	France	102	null	null	true
123	122	0	Bringing Up Baby	Hawks, Howard	1938	USA	102	null	null	true
413	418	0	Lost in Translation	Coppola, Sofia	2003	USA	102	null	null	true
451	440	0	French Cancan	Renoir, Jean	1955	France	102	null	null	false
452	461	0	À nos amours	Pialat, Maurice	1983	France	102	null	null	false
650	640	0	My Own Private Idaho	Van Sant, Gus	1991	USA	102	null	null	false
686	691	0	Robocop	Verhoeven, Paul	1987	USA	102	null	null	true
729	741	0	New Leaf, A	May, Elaine	1971	USA	102	null	null	false
751	738	0	Paper Moon	Bogdanovich, Peter	1973	USA	102	null	null	true
878	870	0	Adventures of Robin Hood, The	Curtiz, Michael & William Keighley	1938	USA	102	null	null	true
886	886	0	Night of Counting the Years, The	Salam, Shadi Abdel	1969	Egypt	102	null	null	false
943	931	0	Dirty Harry	Siegel, Don	1971	USA	102	null	null	true
117	117	0	Wizard of Oz, The	Fleming, Victor	1939	USA	101	null	null	true
127	130	0	Notorious	Hitchcock, Alfred	1946	USA	101	null	null	true
220	220	0	Samouraï, Le	Melville, Jean-Pierre	1967	France	101	null	null	false
296	293	0	All About My Mother	Almodóvar, Pedro	1999	Spain	101	null	null	false
374	374	0	Peeping Tom	Powell, Michael	1960	UK	101	null	null	true
381	376	0	Two-Lane Blacktop	Hellman, Monte	1971	USA	101	null	null	false
403	401	0	Thin Blue Line, The	Morris, Errol	1988	USA	101	null	null	true
556	545	0	Strangers on a Train	Hitchcock, Alfred	1951	USA	101	null	null	true
744	727	0	Tiger of Eschnapur, The	Lang, Fritz	1958	West Germany	101	null	null	false
799	796	0	35 Shots of Rum	Denis, Claire	2008	France	101	null	null	false
800	793	0	Trouble Every Day	Denis, Claire	2001	France	101	null	null	false
809	816	0	Shock Corridor	Fuller, Samuel	1963	USA	101	null	null	true
820	814	0	My Life as a Dog	Hallström, Lasse	1985	Sweden	101	null	null	false
928	946	0	Before Sunrise	Linklater, Richard	1995	USA	101	null	null	false
96	96	0	Sans soleil	Marker, Chris	1983	France	100	null	null	true
176	172	0	Discreet Charm of the Bourgeoisie, The	Buñuel, Luis	1972	France	100	null	null	true
262	256	0	Belle de jour	Buñuel, Luis	1967	France	100	null	null	false
266	276	0	Three Colours: Blue	Kieslowski, Krzysztof	1993	France	100	null	null	false
308	307	0	Maltese Falcon, The	Huston, John	1941	USA	100	null	null	true
379	368	0	I Was Born, But...	Ozu, Yasujiro	1932	Japan	100	null	null	true
447	443	0	Innocents, The	Clayton, Jack	1961	UK	100	null	null	false
502	525	0	To Have and Have Not	Hawks, Howard	1944	USA	100	null	null	true
517	512	0	Crash	Cronenberg, David	1996	Canada	100	null	null	true
557	559	0	Young Mr. Lincoln	Ford, John	1939	USA	100	null	null	true
595	587	0	Taking of Power by Louis XIV, The	Rossellini, Roberto	1966	France	100	null	null	false
618	621	0	My Friend Ivan Lapshin	German, Aleksei	1985	USSR	100	null	null	false
635	632	0	Golden Coach, The	Renoir, Jean	1952	Italy	100	null	null	false
657	643	0	Walkabout	Roeg, Nicolas	1971	UK	100	null	null	true
785	817	0	Chikamatsu monogatari	Mizoguchi, Kenji	1954	Japan	100	null	null	false
794	801	0	Requiem for a Dream	Aronofsky, Darren	2000	USA	100	null	null	true
859	850	0	Too Early, Too Late	Straub, Jean-Marie & Danièle Huillet	1981	France	100	null	null	false
896	897	0	Caro diario	Moretti, Nanni	1993	Italy	100	null	null	false
988	972	0	Bête humaine, La	Renoir, Jean	1938	France	100	null	null	true
27	26	0	400 Blows, The	Truffaut, François	1959	France	99	null	null	true
55	54	0	M	Lang, Fritz	1931	Germany	99	null	null	true
98	102	0	To Be or Not to Be	Lubitsch, Ernst	1942	USA	99	null	null	true
184	182	0	River, The	Renoir, Jean	1951	France	99	null	null	false
194	192	0	Black Narcissus	Powell, Michael & Emeric Pressburger	1947	UK	99	null	null	true
257	255	0	Green Ray, The	Rohmer, Eric	1986	France	99	null	null	false
276	273	0	Taste of Cherry	Kiarostami, Abbas	1997	Iran	99	null	null	false
295	289	0	Three Colours: Red	Kieslowski, Krzysztof	1994	France	99	null	null	true
378	366	0	Written on the Wind	Sirk, Douglas	1956	USA	99	null	null	false
482	488	0	Reservoir Dogs	Tarantino, Quentin	1992	USA	99	null	null	true
559	548	0	Russian Ark	Sokurov, Aleksandr	2002	Russia	99	null	null	false
661	649	0	Top Hat	Sandrich, Mark	1935	USA	99	null	null	true
706	688	0	Party, The	Edwards, Blake	1968	USA	99	null	null	false
889	877	0	Miracle of Morgan's Creek, The	Sturges, Preston	1944	USA	99	null	null	true
930	963	0	Shaun of the Dead	Wright, Edgar	2004	UK	99	null	null	true
47	48	0	Close-Up	Kiarostami, Abbas	1990	Iran	98	null	null	true
195	191	0	Spring in a Small Town	Fei Mu	1948	China	98	null	null	false
271	269	0	Fargo	Coen, Joel & Ethan Coen	1996	USA	98	null	null	true
373	381	0	Teorema	Pasolini, Pier Paolo	1968	Italy	98	null	null	false
391	384	0	Tristana	Buñuel, Luis	1970	Spain	98	null	null	false
457	460	0	Songs from the Second Floor	Andersson, Roy	2000	Sweden	98	null	null	false
500	501	0	Five Easy Pieces	Rafelson, Bob	1970	USA	98	null	null	true
550	552	0	Haine, La	Kassovitz, Mathieu	1995	France	98	null	null	false
562	553	0	WALL-E	Stanton, Andrew	2008	USA	98	null	null	true
747	734	0	Oh, Sun	Hondo, Med	1970	France	98	null	null	false
846	839	0	Female Trouble	Waters, John	1974	USA	98	null	null	false
876	868	0	Outskirts	Barnet, Boris	1933	USSR	98	null	null	false
904	903	0	Deep Red	Argento, Dario	1975	Italy	98	null	null	true
17	17	0	In the Mood for Love	Wong Kar-wai	2000	Hong Kong	97	null	null	true
69	68	0	Journey to Italy	Rossellini, Roberto	1954	Italy	97	null	null	true
139	135	0	My Darling Clementine	Ford, John	1946	USA	97	null	null	false
187	189	0	Out of the Past	Tourneur, Jacques	1947	USA	97	null	null	true
243	240	0	Memories of Underdevelopment	Gutiérrez Alea, Tomás	1968	Cuba	97	null	null	false
281	277	0	Shop Around the Corner, The	Lubitsch, Ernst	1940	USA	97	null	null	true
299	296	0	Happy Together	Wong Kar-wai	1997	Hong Kong	97	null	null	false
347	345	0	Double Life of Véronique, The	Kieslowski, Krzysztof	1991	France	97	null	null	false
421	421	0	Plaisir, Le	Ophüls, Max	1952	France	97	null	null	false
434	430	0	Shadows of Forgotten Ancestors	Parajanov, Sergei	1965	USSR	97	null	null	false
487	475	0	Carrie	De Palma, Brian	1976	USA	97	null	null	true
566	563	0	Morvern Callar	Ramsay, Lynne	2002	UK	97	null	null	false
575	564	0	Sambizanga	Maldoror, Sarah	1972	Angola	97	null	null	false
665	664	0	Lady Vanishes, The	Hitchcock, Alfred	1938	UK	97	null	null	true
786	776	0	American Werewolf in London, An	Landis, John	1981	UK	97	null	null	true
835	860	0	Irréversible	Noé, Gaspar	2002	France	97	null	null	false
865	867	0	Clueless	Heckerling, Amy	1995	USA	97	null	null	true
935	939	0	Blood Simple	Coen, Joel & Ethan Coen	1984	USA	97	null	null	true
971	0	0	Long Farewell, The	Muratova, Kira	1971	USSR	97	null	null	false
978	978	0	Breakfast Club, The	Hughes, John	1985	USA	97	null	null	true
998	985	0	Sweetie	Campion, Jane	1989	Australia	97	null	null	false
58	57	0	Ugetsu monogatari	Mizoguchi, Kenji	1953	Japan	96	null	null	true
84	82	0	Seventh Seal, The	Bergman, Ingmar	1957	Sweden	96	null	null	true
162	159	0	Manhattan	Allen, Woody	1979	USA	96	null	null	true
173	174	0	Stagecoach	Ford, John	1939	USA	96	null	null	true
234	238	0	Ashes and Diamonds	Wajda, Andrzej	1958	Poland	96	null	null	false
247	251	0	Ivan the Terrible, Part I	Eisenstein, Sergei	1944	USSR	96	null	null	false
278	279	0	Sweet Smell of Success	Mackendrick, Alexander	1957	USA	96	null	null	true
353	356	0	Night of the Living Dead	Romero, George A.	1968	USA	96	null	null	true
543	579	0	Night at the Opera, A	Wood, Sam	1935	USA	96	null	null	true
573	578	0	Mad Max 2	Miller, George	1981	Australia	96	null	null	true
